idno,freehms,gincdif,lrscale,impcntr,euftf,group
7244,0.5,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,3
7288,0.5,0.5,0.3999999999999999,0.33333333333333337,0,5
7297,0.5,1,-0.4,0.33333333333333337,0,3
7330,0.5,0.5,-0.4,-0.33333333333333326,-1,3
7514,1,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,1
7533,1,0.5,-0.4,1,0.19999999999999996,1
7541,0.5,-0.5,0,-0.33333333333333326,0.19999999999999996,4
7554,1,1,0,-0.33333333333333326,-0.4,5
7600,0.5,-0.5,0,-0.33333333333333326,-0.8,4
7609,1,0.5,-0.6,1,0.6000000000000001,2
7613,1,0.5,0,0.33333333333333337,-0.6,3
7641,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,7
7689,0.5,0.5,0,-0.33333333333333326,0.8,6
7707,1,0.5,-0.19999999999999996,1,0.6000000000000001,1
7722,-0,-1,0,-1,-0.19999999999999996,4
7730,1,0.5,-0.6,1,-0.6,3
7741,1,0.5,0,-0.33333333333333326,0.6000000000000001,6
7774,0.5,0.5,0.3999999999999999,-0.33333333333333326,1,6
7782,1,-0,0,-0.33333333333333326,0,6
7783,0.5,-0,-0.4,0.33333333333333337,0.19999999999999996,1
7812,0.5,0.5,0,0.33333333333333337,0.6000000000000001,7
7836,1,0.5,-0.6,1,-0.6,3
7856,1,0.5,-1,1,1,2
7873,1,0.5,0,0.33333333333333337,0.8,7
7904,-0,-0,-0.4,0.33333333333333337,0.19999999999999996,1
7916,0.5,0.5,0,-0.33333333333333326,-0.6,5
8007,0.5,-0.5,0,0.33333333333333337,-0.19999999999999996,4
8077,1,0.5,-0.6,0.33333333333333337,1,7
8084,1,1,0,-0.33333333333333326,0.3999999999999999,5
8088,0.5,-0,0.3999999999999999,-0.33333333333333326,1,4
8142,0.5,0.5,-0.4,0.33333333333333337,0.3999999999999999,2
8174,0.5,0.5,0.6000000000000001,-0.33333333333333326,0.8,6
8190,1,-0.5,0.6000000000000001,0.33333333333333337,0.6000000000000001,4
8225,0.5,1,0,-0.33333333333333326,-0.6,5
