idno,freehms,gincdif,lrscale,impcntr,euftf,group
2339,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,1
2402,1,1,0,1,0,1
2434,1,0.5,-1,1,0.19999999999999996,1
2461,0.5,-0,0,-0.33333333333333326,0,1
2567,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
2573,0.5,0.5,0,0.33333333333333337,0.3999999999999999,1
2602,1,0.5,0,0.33333333333333337,1,1
2604,0.5,1,0,0.33333333333333337,0,1
2612,0.5,0.5,0,-0.33333333333333326,0,1
2613,0.5,0.5,0.3999999999999999,-0.33333333333333326,0,1
2626,0.5,0.5,-0.4,0.33333333333333337,-0.6,1
2662,1,0.5,-0.19999999999999996,0.33333333333333337,1,1
2750,1,-0,-0.4,-0.33333333333333326,0,1
2775,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,1
2819,-0.5,-1,0,1,0.3999999999999999,1
2826,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,1
2827,0.5,0.5,0,0.33333333333333337,0.19999999999999996,1
2830,-0,1,-0.19999999999999996,0.33333333333333337,0,1
2844,1,-0,0,0.33333333333333337,-0.8,1
2881,1,0.5,-0.4,-0.33333333333333326,0,1
3005,1,0.5,-0.6,1,0.8,1
3022,-0,1,0.3999999999999999,-0.33333333333333326,-0.6,1
3073,1,1,-1,1,1,1
3082,0.5,-0.5,0.3999999999999999,-0.33333333333333326,-0.19999999999999996,1
3093,1,-0.5,0.3999999999999999,-0.33333333333333326,-0.8,1
3128,1,-0.5,0.3999999999999999,-0.33333333333333326,0.8,1
3204,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,1
3250,1,0.5,0,-0.33333333333333326,-0.19999999999999996,1
3300,1,1,-0.19999999999999996,1,0.3999999999999999,1
3354,0.5,1,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,1
3361,1,1,0.8,-0.33333333333333326,0,1
3396,1,1,-0.19999999999999996,0.33333333333333337,1,1
3410,1,0.5,0,0.33333333333333337,0.3999999999999999,1
3421,1,0.5,-0.4,0.33333333333333337,0,1
3430,1,0.5,-0.4,0.33333333333333337,0.8,1
3436,-0,1,-0.6,-0.33333333333333326,-0.6,1
3455,1,0.5,0,0.33333333333333337,-0.19999999999999996,1
3459,1,0.5,0.3999999999999999,-0.33333333333333326,-0.4,1
3527,0.5,1,0,-0.33333333333333326,-0.19999999999999996,1
3564,1,1,-0.6,1,1,1
3576,0.5,0.5,-0.4,0.33333333333333337,1,1
3597,1,0.5,0.6000000000000001,-0.33333333333333326,-0.4,1
3663,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,1
3668,1,-0.5,-0.19999999999999996,1,1,1
3711,0.5,0.5,-0.8,-0.33333333333333326,0.6000000000000001,1
3759,1,0.5,0.19999999999999996,-0.33333333333333326,-0.6,1
3826,1,0.5,0,0.33333333333333337,0.8,1
3835,0.5,1,-0.19999999999999996,0.33333333333333337,0,1
3844,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.6,1
3846,0.5,1,-0.19999999999999996,-1,-0.19999999999999996,1
3879,0.5,1,-0.8,1,1,1
3970,1,-0.5,0,1,0.6000000000000001,1
4000,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,1
4015,1,1,0,-0.33333333333333326,0.19999999999999996,1
4074,1,-0.5,-0.4,0.33333333333333337,1,1
4177,1,0.5,0,0.33333333333333337,0,1
4179,0.5,1,0,-0.33333333333333326,0.6000000000000001,1
4185,-0,0.5,0,1,0.6000000000000001,1
4202,1,0.5,-0.4,0.33333333333333337,1,1
4203,1,0.5,0,0.33333333333333337,1,1
4207,0.5,-1,0.6000000000000001,0.33333333333333337,1,1
4506,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,1
4524,0.5,1,0,0.33333333333333337,0,1
4559,1,0.5,0,0.33333333333333337,1,1
4568,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,1
4591,1,-1,0.3999999999999999,0.33333333333333337,-1,1
4662,1,1,-0.19999999999999996,0.33333333333333337,1,1
4677,1,0.5,0.3999999999999999,-0.33333333333333326,0.19999999999999996,1
4679,0.5,0.5,0.3999999999999999,-1,-1,1
4685,1,1,-0.6,0.33333333333333337,1,1
4705,1,1,-0.4,0.33333333333333337,0.6000000000000001,1
4736,0.5,1,-0.4,0.33333333333333337,1,1
4825,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,1
4851,0.5,1,0.19999999999999996,-0.33333333333333326,0.19999999999999996,1
4877,0.5,0.5,0,0.33333333333333337,0.3999999999999999,1
4880,1,1,-0.19999999999999996,0.33333333333333337,1,1
4943,0.5,0.5,0,0.33333333333333337,0,1
4964,1,1,-1,1,0.8,1
4988,1,0.5,-0.6,0.33333333333333337,0,1
5001,0.5,-0.5,0,-0.33333333333333326,-0.8,1
5058,1,0.5,-0.19999999999999996,1,1,1
5069,1,0.5,0,0.33333333333333337,0.19999999999999996,1
5088,1,1,-0.4,0.33333333333333337,-0.19999999999999996,1
5201,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0,1
5207,0.5,-0,0.3999999999999999,0.33333333333333337,0.3999999999999999,1
5225,-0.5,-0,-1,-1,0.3999999999999999,1
5278,0.5,0.5,0.3999999999999999,-0.33333333333333326,0.3999999999999999,1
5293,1,0.5,-0.19999999999999996,0.33333333333333337,0,1
5363,1,0.5,-1,0.33333333333333337,0.19999999999999996,1
5384,1,0.5,0,1,0.3999999999999999,1
5424,-0,1,0,-0.33333333333333326,-0.4,1
5455,1,1,-0.19999999999999996,0.33333333333333337,-1,1
5508,1,-0.5,0.19999999999999996,-0.33333333333333326,1,1
5534,0.5,0.5,0,0.33333333333333337,0.19999999999999996,1
5573,1,1,1,-0.33333333333333326,0.3999999999999999,1
5585,1,0.5,-0.6,1,0.6000000000000001,1
5642,1,0.5,0,0.33333333333333337,-0.4,1
5649,0.5,1,1,-0.33333333333333326,0.3999999999999999,1
5651,1,0.5,0,1,0.6000000000000001,1
5682,0.5,-1,0.19999999999999996,-0.33333333333333326,-0.19999999999999996,1
5692,1,0.5,0,-0.33333333333333326,0.6000000000000001,1
5772,-0,0.5,0,-0.33333333333333326,0.3999999999999999,1
5892,0.5,1,0.6000000000000001,0.33333333333333337,0.6000000000000001,1
5893,0.5,1,0,0.33333333333333337,-0.8,1
5907,0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,1
5913,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,1
5952,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,1
5990,0.5,-0.5,0,1,1,1
6032,0.5,0.5,0,0.33333333333333337,-0.19999999999999996,1
6051,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
6070,0.5,0.5,0,-0.33333333333333326,-0.4,1
6224,1,-0.5,0,1,0.19999999999999996,1
6323,0.5,-0,-0.4,0.33333333333333337,0.3999999999999999,1
